Category , cne_probs,total problems,
JavaRes,,,
  success  ,1081,,
  time     ,397098356,,6618.30593333333
  fail     ,1302,2383,
PyRes,,,
  success  ,945,,
  time     ,443735000,,7395.58333333333
  fail     ,1437,2382,
,,,
Category , feq_probs,,
JavaRes,,,
  success  ,1589,,
  time     ,1420897333,,23681.6222166667
  fail     ,4716,6305,
PyRes,,,
  success  ,725,,
  time     ,1691635000,,28193.9166666667
  fail     ,5580,6305,
,,,
Category , ceq_probs,,
JavaRes,,,
  success  ,615,,
  time     ,1159570185,,19326.16975
  fail     ,3827,4442,
PyRes,,,
  success  ,499,,
  time     ,1195767000,,19929.45
  fail     ,3943,4442,
,,,
Category , uup_probs,,
JavaRes,,,
  success  ,173,,
  time     ,310292354,,5171.53923333333
  fail     ,1020,1193,
PyRes,,,
  success  ,113,,
  time     ,327475000,,5457.91666666667
  fail     ,1080,1193,
,,,
Category , fne_probs,,
JavaRes,,,
  success  ,737,,
  time     ,313877745,,5231.29575
  fail     ,1034,1771,
PyRes,,,
  success  ,632,,
  time     ,348036000,,5800.6
  fail     ,1139,1771,
,,,
All,,,
JavaRes,,,
  success  ,4195,,
  time     ,3601735973,,60028.9328833333
  fail     ,11899,16094,
PyRes,,,
  success  ,2914,,
  time     ,4006648000,,66777.4666666667
  fail     ,13179,16093,
